x,t,u_pred,u_true,error,D_pred,D_true
3.877551e-01,3.673469e-01,6.202609e-01,6.138294e-01,6.431520e-03,1.197443e-01,1.324114e-01
3.877551e-01,3.877551e-01,6.075115e-01,6.086810e-01,1.169503e-03,1.205818e-01,1.324114e-01
3.877551e-01,4.081632e-01,5.950347e-01,5.815502e-01,1.348454e-02,1.213947e-01,1.324114e-01
3.877551e-01,4.285714e-01,5.828252e-01,5.903752e-01,7.550001e-03,1.220536e-01,1.324114e-01
3.877551e-01,4.489796e-01,5.708812e-01,5.838712e-01,1.299006e-02,1.224707e-01,1.324114e-01
3.877551e-01,4.693877e-01,5.592064e-01,5.738300e-01,1.462364e-02,1.226408e-01,1.324114e-01
3.877551e-01,4.897959e-01,5.478115e-01,5.540610e-01,6.249487e-03,1.226089e-01,1.324114e-01
3.877551e-01,5.102041e-01,5.367121e-01,5.478449e-01,1.113290e-02,1.224295e-01,1.324114e-01
3.877551e-01,5.306122e-01,5.259240e-01,5.239730e-01,1.950979e-03,1.221423e-01,1.324114e-01
3.877551e-01,5.510204e-01,5.154582e-01,5.075719e-01,7.886231e-03,1.217446e-01,1.324114e-01
3.877551e-01,5.714286e-01,5.053153e-01,5.097976e-01,4.482329e-03,1.211697e-01,1.324114e-01
3.877551e-01,5.918368e-01,4.954832e-01,5.096132e-01,1.412994e-02,1.204489e-01,1.324114e-01
3.877551e-01,6.122449e-01,4.859363e-01,4.697053e-01,1.623109e-02,1.197799e-01,1.324114e-01
3.877551e-01,6.326531e-01,4.766389e-01,4.818586e-01,5.219668e-03,1.192867e-01,1.324114e-01
3.877551e-01,6.530612e-01,4.675505e-01,4.852151e-01,1.766461e-02,1.189678e-01,1.324114e-01
3.877551e-01,6.734694e-01,4.586325e-01,4.530717e-01,5.560756e-03,1.188004e-01,1.324114e-01
3.877551e-01,6.938776e-01,4.498535e-01,4.454566e-01,4.396915e-03,1.187989e-01,1.324114e-01
3.877551e-01,7.142857e-01,4.411945e-01,4.399838e-01,1.210630e-03,1.189438e-01,1.324114e-01
3.877551e-01,7.346939e-01,4.326496e-01,4.284871e-01,4.162490e-03,1.191835e-01,1.324114e-01
3.877551e-01,7.551020e-01,4.242262e-01,4.303180e-01,6.091744e-03,1.194716e-01,1.324114e-01
3.877551e-01,7.755102e-01,4.159421e-01,4.315883e-01,1.564622e-02,1.197344e-01,1.324114e-01
3.877551e-01,7.959183e-01,4.078211e-01,4.036060e-01,4.215091e-03,1.197659e-01,1.324114e-01
3.877551e-01,8.163266e-01,3.998888e-01,4.177409e-01,1.785213e-02,1.192507e-01,1.324114e-01
3.877551e-01,8.367347e-01,3.921683e-01,4.076274e-01,1.545906e-02,1.181145e-01,1.324114e-01
3.877551e-01,8.571429e-01,3.846772e-01,3.905733e-01,5.896091e-03,1.165698e-01,1.324114e-01
3.877551e-01,8.775510e-01,3.774260e-01,3.662442e-01,1.118186e-02,1.146408e-01,1.324114e-01
3.877551e-01,8.979592e-01,3.704190e-01,3.686279e-01,1.791149e-03,1.121682e-01,1.324114e-01
3.877551e-01,9.183673e-01,3.636550e-01,3.580659e-01,5.589098e-03,1.091407e-01,1.324114e-01
3.877551e-01,9.387755e-01,3.571306e-01,3.571686e-01,3.799796e-05,1.054405e-01,1.324114e-01
3.877551e-01,9.591837e-01,3.508429e-01,3.501593e-01,6.835759e-04,1.010389e-01,1.324114e-01
3.877551e-01,9.795918e-01,3.447920e-01,3.397565e-01,5.035430e-03,9.630650e-02,1.324114e-01
3.877551e-01,1.000000e+00,3.389836e-01,3.337194e-01,5.264193e-03,9.195087e-02,1.324114e-01
4.081632e-01,0.000000e+00,9.585672e-01,9.474113e-01,1.115590e-02,1.084631e-01,1.272767e-01
4.081632e-01,2.040816e-02,9.314641e-01,9.218364e-01,9.627759e-03,1.175602e-01,1.272767e-01
4.081632e-01,4.081633e-02,9.057141e-01,9.029765e-01,2.737582e-03,1.219292e-01,1.272767e-01
4.081632e-01,6.122449e-02,8.821039e-01,8.863705e-01,4.266679e-03,1.230709e-01,1.272767e-01
4.081632e-01,8.163265e-02,8.604272e-01,8.674161e-01,6.988883e-03,1.220876e-01,1.272767e-01
4.081632e-01,1.020408e-01,8.402148e-01,8.221212e-01,1.809359e-02,1.208825e-01,1.272767e-01
4.081632e-01,1.224490e-01,8.211212e-01,8.140948e-01,7.026374e-03,1.200010e-01,1.272767e-01
4.081632e-01,1.428571e-01,8.029661e-01,7.938957e-01,9.070396e-03,1.194760e-01,1.272767e-01
4.081632e-01,1.632653e-01,7.856542e-01,7.890099e-01,3.355622e-03,1.190052e-01,1.272767e-01
4.081632e-01,1.836735e-01,7.691039e-01,7.655084e-01,3.595591e-03,1.182191e-01,1.272767e-01
4.081632e-01,2.040816e-01,7.532178e-01,7.516168e-01,1.600921e-03,1.168975e-01,1.272767e-01
4.081632e-01,2.244898e-01,7.378852e-01,7.253523e-01,1.253289e-02,1.151421e-01,1.272767e-01
4.081632e-01,2.448980e-01,7.229976e-01,7.101429e-01,1.285475e-02,1.135627e-01,1.272767e-01
4.081632e-01,2.653061e-01,7.084637e-01,7.074913e-01,9.723902e-04,1.124635e-01,1.272767e-01
4.081632e-01,2.857143e-01,6.942186e-01,6.889512e-01,5.267441e-03,1.118327e-01,1.272767e-01
4.081632e-01,3.061225e-01,6.802244e-01,6.678491e-01,1.237530e-02,1.116292e-01,1.272767e-01
